beat_index,beat_time_sec,ch0.r_amp,ch0.s_amp,ch0.rs_ratio,ch0.qrs_max_slope,ch0.qrs_area,ch0.qrs_energy,ch0.st_j,ch0.st_60ms,ch0.st_80ms,ch0.t_peak_amp,ch0.t_area,ch0.qrs_notches,ch0.qrs_is_fragmented,ch0.waveE_L1,ch0.waveE_L2,ch0.waveE_L3,ch0.waveE_L4,ch0.waveE_L5,morph_corr_allleads,ST60_max_abs,ST60_max_lead,ST80_max_abs,ST80_max_lead
90,223.484,401.96127173683584,16.67702847146063,24.10269146117436,20874.049341917897,30.8093606177044,3390085.914432486,76.96217771518413,43.154345484019146,-51.921739216614256,-56.93382625295939,-0.23401532759919205,0.0,0.0,,,,,,0.7079961171428092,43.154345484019146,ch0.st_60ms,51.921739216614256,ch0.st_80ms
91,242.708,126.13752993129494,38.601411627784785,3.2676921545662547,14206.457653101872,6.86391839484185,243111.2601762718,38.601411627784785,-22.215341022697487,36.09036668689733,87.1893846375614,0.25898110469965474,0.0,0.0,,,,,,0.5362650721792686,22.215341022697487,ch0.st_60ms,36.09036668689733,ch0.st_80ms
92,259.228,637.6866939425597,-5970.662220398697,0.1068033444873017,728388.5630023036,91.10939858746171,171430894.979285,51.80124474045983,-6.169441305009478,-17.186786361457724,99.35851434610854,1.1181431221750884,4.0,1.0,,,,,,0.01824148201307429,6.169441305009478,ch0.st_60ms,17.186786361457724,ch0.st_80ms
93,260.772,130.25075046176897,18.48005288695481,7.048180611740231,12843.628729844128,5.21629417544569,162292.42757034607,63.532992835761576,38.07394853205511,34.304866135309936,-11576.305458267214,-120.1886751027469,1.0,0.0,,,,,,0.13725011515322252,38.07394853205511,ch0.st_60ms,34.304866135309936,ch0.st_80ms
94,260.992,1512.8867666153722,441.63558555662456,3.4256450704908072,1442516.1217076497,175.86657174716427,675906418.7208585,441.63558555662456,-491.50221417842704,-155.32562518543003,83.75652576281777,0.6299714774456536,4.0,1.0,,,,,,0.02351627956554783,491.50221417842704,ch0.st_60ms,155.32562518543003,ch0.st_80ms
95,262.474,151.18375002747112,-1014.4975899604432,0.14902327173923202,44808.667906500785,31.56088026742153,10472618.181873202,-1014.4975899604432,-638.335802951369,-557.8544063141129,512.0700143735592,-36.150321604595966,1.0,0.0,,,,,,0.008506221671086793,638.335802951369,ch0.st_60ms,557.8544063141129,ch0.st_80ms
96,262.832,817.8873562485257,363.5669209172197,2.249619833908789,28614.52714878398,60.297311103866065,16682781.109689778,363.5669209172197,148.72887551955228,-16.4218438561999,319.08935097640983,21.43406912572636,0.0,0.0,,,,,,0.5393356307460232,148.72887551955228,ch0.st_60ms,16.4218438561999,ch0.st_80ms
97,263.792,214.935870709677,4.258084363994814,50.477128289687116,39670.06918683555,11.114365335071616,870775.403792538,4.258084363994814,13.69743976412695,-0.45527410466538987,-123.96194006529554,1.1518268246870385,2.0,1.0,,,,,,0.4867563369542585,13.69743976412695,ch0.st_60ms,0.45527410466538987,ch0.st_80ms
98,264.52,60.80499541856292,-90.31504421656743,0.6732543392522508,14726.93804545898,4.786216984188901,113599.36808432246,-84.64170713604413,0.5452180669262319,-1.1134927379262027,85.2535667768634,1.6079057179315224,4.0,1.0,,,,,,0.0841605482677854,0.5452180669262319,ch0.st_60ms,1.1134927379262027,ch0.st_80ms
99,265.72,95.10981344724738,95.10981344724738,1.0,79188.66793903553,16.674676580320973,3136675.032271222,95.10981344724738,0.27766347665066604,-37.71670008687954,106.98264513927401,-2.6035641164339713,3.0,1.0,,,,,,0.19418979588344673,0.27766347665066604,ch0.st_60ms,37.71670008687954,ch0.st_80ms
